purchase_frequency,inactivity_days,cart_abandonment_count,refund_count,complaint_count,login_frequency,Churn
6,6,14,1,3,21,0
19,17,1,0,0,12,0
14,26,3,3,3,5,0
10,33,5,4,4,23,1
7,26,6,2,3,9,0
6,16,9,0,2,27,0
18,42,2,3,2,25,1
10,58,2,2,4,9,1
10,43,9,1,0,22,1
3,58,5,1,0,10,1
7,50,12,2,1,22,1
2,53,11,0,4,19,1
1,23,2,1,3,1,0
11,24,12,4,4,7,0
5,6,1,2,1,4,0
1,51,7,2,4,1,1
0,5,4,1,4,15,0
11,52,14,0,1,8,1
11,23,0,4,0,12,0
16,32,2,0,3,22,1
9,48,9,3,1,22,1
15,28,7,3,2,18,0
14,42,3,1,0,15,1
14,21,13,1,2,17,1
18,25,6,1,0,29,0
11,27,9,3,3,14,0
19,49,11,0,3,14,0
2,20,13,0,4,18,0
4,48,13,1,2,20,1
18,6,1,4,0,18,0
6,16,6,0,3,16,0
8,19,4,3,1,1,1
6,40,4,2,3,23,1
17,48,5,2,1,27,1
3,19,12,2,0,11,0
13,53,8,4,3,15,1
17,21,13,1,3,12,0
8,27,5,3,0,8,0
1,39,11,4,3,22,1
19,48,12,3,1,20,1
14,6,14,3,3,6,1
6,0,13,1,2,3,0
11,31,7,2,4,28,1
7,12,6,1,1,24,0
14,29,8,4,2,26,0
2,22,3,4,0,13,0
13,50,1,4,1,13,0
16,58,6,1,4,2,1
3,55,5,3,4,5,1
17,18,0,3,0,17,0
7,31,10,0,0,6,1
3,29,8,4,1,2,0
1,28,8,3,3,4,0
5,48,11,0,0,22,1
9,44,1,3,3,26,1
3,28,2,4,2,11,0
17,29,4,2,4,8,1
11,15,4,4,3,12,0
1,39,14,1,4,8,1
9,18,0,3,3,11,0
3,17,7,3,2,22,0
13,0,11,1,0,20,0
15,13,7,1,2,8,1
14,50,3,2,0,29,1
7,46,12,3,0,8,1
13,49,6,3,4,26,1
7,1,14,2,2,17,0
15,53,14,0,3,20,1
12,27,10,2,2,20,0
17,48,9,4,4,23,1
14,49,2,3,0,16,1
12,29,5,1,4,14,0
8,37,13,4,1,11,1
14,50,9,3,1,7,1
12,3,12,2,3,16,0
0,0,9,4,4,13,0
6,7,11,3,3,27,0
8,28,13,0,3,15,0
0,54,8,0,1,24,1
11,38,0,1,3,16,1
7,2,4,3,1,27,0
10,31,3,0,0,21,1
18,9,7,2,4,23,0
16,9,10,3,3,24,0
7,18,11,2,1,9,0
2,45,0,2,2,3,1
2,33,8,0,3,19,1
0,59,5,3,0,20,1
4,32,3,4,0,5,1
9,22,11,0,2,10,0
6,54,8,0,1,17,0
8,27,10,3,3,15,0
6,31,4,3,1,23,1
8,49,14,2,0,25,1
7,6,4,3,1,8,0
11,28,11,2,0,15,0
1,7,4,0,1,21,1
0,0,0,1,2,14,0
15,56,0,4,4,20,1
4,54,7,0,2,28,1
2,2,11,3,2,7,0
11,23,7,4,4,21,0
7,22,11,1,4,23,0
2,58,14,1,3,12,1
0,7,14,2,3,17,0
2,53,5,4,2,17,1
4,56,11,2,2,10,1
14,46,10,0,0,29,1
13,36,12,4,0,19,1
2,2,3,0,3,14,0
0,50,1,2,3,11,1
4,32,13,4,0,2,1
13,27,1,2,0,18,0
6,46,8,4,1,7,1
8,7,14,2,1,12,0
14,33,4,1,0,26,1
14,34,3,2,1,2,1
9,31,9,1,4,27,1
